workload_label,gpu_utilization_pct_mean,gpu_utilization_pct_std,gpu_utilization_pct_min,gpu_utilization_pct_max,mem_utilization_pct_mean,mem_utilization_pct_std,mem_utilization_pct_min,mem_utilization_pct_max,power_draw_w_mean,power_draw_w_std,power_draw_w_min,power_draw_w_max,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,sm_clock_mhz_mean,sm_clock_mhz_std,sm_clock_mhz_min,sm_clock_mhz_max,mem_clock_mhz_mean,mem_clock_mhz_std,mem_clock_mhz_min,mem_clock_mhz_max,mem_used_mb_mean,mem_used_mb_std,mem_used_mb_min,mem_used_mb_max,pcie_tx_mbps_mean,pcie_tx_mbps_std,pcie_tx_mbps_min,pcie_tx_mbps_max,pcie_rx_mbps_mean,pcie_rx_mbps_std,pcie_rx_mbps_min,pcie_rx_mbps_max,n_samples,n_runs
nbody_short_dur120,90.90151515151516,28.855221615518467,0,100,75.1590909090909,23.862145288996942,0,83,523.164696969697,137.10787336671848,71.13,581.932,60.24242424242424,3.2903309936315015,49,63,1871.8181818181818,402.2832130274539,345,1980,2619.0,0.0,2619,2619,13220.265151515152,3864.388094041762,449,14381,20.58703243371212,23.183026687193742,0.5888671875,152.0634765625,41.96676728219697,37.152951207221726,0.431640625,221.7978515625,132,1
nbody_sim,97.91254125412541,9.808905760570623,0,99,88.15869086908691,8.927638727643323,0,90,46.14383443344334,0.5862800168326199,39.674,46.616,58.29015401540154,1.9480803879025812,46,62,1227.0709570957097,83.79480684514047,210,1410,1215.0,0.0,1215,1215,1839.7821782178219,132.19639789446583,518,1853,6.103801932927667,3.547464569326403,0.28515625,125.1689453125,24.311099884402502,18.380117023390124,0.23828125,584.6494140625,3636,6
nvlink_bandwidth,25.0,42.451731798717944,0,100,2.509259259259259,2.8921271490332408,0,10,118.91793518518519,35.51236489657034,67.912,163.644,42.47222222222222,1.456268007924164,40,45,1525.8333333333333,735.7358513696706,345,1980,2619.0,0.0,2619,2619,5402.074074074074,3876.545599996765,453,9069,6.223768446180555,11.405503549025697,0.447265625,65.322265625,6.881302445023148,10.46040108965193,0.4072265625,39.375,108,6
nvlink_latency,0.8611111111111112,3.0533614055686025,0,14,0.0,0.0,0,0,120.32113888888888,1.962487840221149,117.943,124.093,41.75,0.4391550328268399,41,42,1980.0,0.0,1980,1980,2619.0,0.0,2619,2619,9089.0,37.94733192202017,9069,9159,1.8426920572916667,4.173205200037116,0.4541015625,25.1494140625,2.521457248263889,5.224661540575852,0.3447265625,15.8115234375,36,4
pytorch_mlp_cifar10,5.730088495575221,3.212846019915875,0,12,0.0,0.0,0,0,40.20999115044248,0.33636566070144475,39.136,40.679,32.33185840707964,3.2014653724464135,29,41,1017.7433628318585,248.72652644169702,210,1095,1215.0,0.0,1215,1215,1041.9424778761063,181.12130069483385,518,1105,16.80836473313053,21.58286513053391,0.28515625,56.8857421875,173.0421477461283,236.57457353317074,0.23828125,646.1611328125,226,3
pytorch_resnet_cifar10,82.4,34.76935206668733,0,99,46.921951219512195,19.862857151308685,0,58,43.177839024390245,1.3494237072198194,39.162,44.352,46.53170731707317,5.453476990550693,29,53,1022.780487804878,263.1168301041851,210,1410,1215.0,0.0,1215,1215,4509.731707317073,1520.5390817847515,518,5095,16.024480754573172,16.378000647239475,0.28515625,113.486328125,99.26882621951219,140.01658114371992,0.23828125,341.84375,205,3
pytorch_resnet_cifar10_amp,76.90070921985816,38.43757554502012,0,98,35.07801418439716,17.870195027309666,0,46,42.96282978723404,1.476583421074507,39.648,44.323,48.241134751773046,3.277413416574241,40,52,1027.5531914893618,324.5423244582156,210,1410,1215.0,0.0,1215,1215,2491.6879432624114,921.2754445778788,518,2927,17.563365746897162,14.28246571843236,0.380859375,36.19140625,167.99966062721631,391.00629182860644,0.23828125,4402.4462890625,141,3
rendering_proxy,84.002200220022,9.13490490330157,0,95,41.03217821782178,4.84718994725149,0,45,43.65018509350935,0.40199065542803414,39.111,44.381,57.055280528052805,3.6201289851347442,31,62,1391.3943894389438,97.0013690476771,210,1410,1215.0,0.0,1215,1215,1156.6072607260726,63.86961264223607,518,1163,20.872329493691556,7.063816586589136,0.28515625,411.9873046875,136.37800408458816,91.10716937611086,0.23828125,3410.529296875,3636,6
resnet18_large_batch_batch2048,25.4375,43.38658586859922,0,98,12.75,21.834223900412248,0,50,195.9143125,173.15553898916767,71.882,482.619,47.375,5.302515126491073,43,57,1274.0625,827.1058351263156,345,1980,2619.0,0.0,2619,2619,2968.0,3354.357563925865,449,7545,11.010986328125,18.61137586332565,0.474609375,73.0869140625,24.14862060546875,31.87249923813123,0.4208984375,126.7412109375,16,1
resnet18_short_run_short,16.615384615384617,36.493237870274136,0,98,10.461538461538462,23.110659101431185,0,62,167.68384615384613,148.92416975362895,71.922,515.895,46.53846153846154,4.054121043567573,44,56,1113.4615384615386,836.1553499384962,345,1980,2619.0,0.0,2619,2619,1785.4615384615386,2021.0723480116776,449,4971,10.092172475961538,13.269872688755374,0.486328125,43.1005859375,17.438551682692307,22.946926651872882,0.4033203125,63.6875,13,1
resnet18_small_batch_batch8,20.306930693069308,7.75853410672071,0,29,0.9207920792079208,0.391999191755077,0,2,141.4661584158416,19.005468784922243,70.444,155.796,44.0990099009901,1.6279124699752663,40,46,1869.5049504950496,407.78334011487954,345,1980,2619.0,0.0,2619,2619,1285.4158415841584,264.611158771762,449,1371,13.772770343440595,14.672975096928681,0.4736328125,152.5390625,85.93679416769803,37.44034237806944,0.421875,281.404296875,101,1
resnet50_concurrent_concurrent,92.85271317829458,25.55481265070052,0,100,73.62015503875969,20.31632417788156,0,80,560.6686821705426,131.0896908140916,69.417,600.331,57.69767441860465,3.4040523900813597,45,59,1903.953488372093,345.65759024613857,345,1980,2619.0,0.0,2619,2619,3744.860465116279,855.1807625455025,449,3971,21.59416636385659,16.29705595105073,0.4501953125,88.4150390625,55.57754209060077,30.09302870323717,0.4033203125,268.44140625,129,1
resnet50_inference,65.26991513824254,21.88829466868539,0,100,49.39173282233781,17.294802528641927,0,75,43.528388174103476,1.6881041327066277,39.674,46.128,52.10183410895155,1.7285786181962624,42,55,1168.8502600602244,173.16545144456913,210,1410,1215.0,0.0,1215,1215,5155.751710922529,550.286375161458,518,5223,121.92061239263961,282.5313528107087,0.23828125,2763.17578125,1147.1512220264167,2650.616037970147,0.23828125,31664.1806640625,3653,6
resnet50_inference_large_bs1024,92.82945736434108,25.525148148140023,0,100,77.86046511627907,21.480275903883932,0,86,586.2712170542635,138.9705537768569,69.13,633.475,60.15503875968992,4.573103453214069,44,65,1893.953488372093,361.7269096912302,345,1980,2619.0,0.0,2619,2619,11552.054263565891,2943.167554667074,449,12349,23.428794210271317,27.42859154905385,0.5068359375,187.50390625,55.84427234738372,59.561084379874856,0.421875,249.3779296875,129,1
resnet50_inference_small_bs32,89.81538461538462,26.303177105055514,0,98,38.06923076923077,11.162081757949048,0,42,484.79013846153845,116.96217586257455,67.66,523.988,54.49230769230769,4.039046156963289,40,57,1879.3846153846155,394.43562634144797,345,1980,2619.0,0.0,2619,2619,1452.4,274.5916940652294,449,1527,30.888529146634614,17.099882313958553,0.4970703125,148.5361328125,167.56060697115385,75.53183618747119,0.4169921875,616.732421875,130,1
