dtype,batch_size,seq_len,n_layers,num_gpus,tokens_per_sec,scaled_tokens_per_sec,mfu_pct,loss,mem_alloc_GB,mem_reserved_GB,mean_power_W,mean_gpu_util,mean_mem_bw_util,arith_intensity,error
bf16,4,512,8.0,1.0,46258.023684934684,184382.69005499594,393.34973878399126,5.120105743408203,12.059303936,21.133000704,750.9312857142857,71.28571428571429,33.857142857142854,3.0,
bf16,8,512,8.0,1.0,62839.50205213526,250475.82034644153,534.3484167390752,7.6244049072265625,12.059303936,21.657288704,810.6859000000001,79.8,34.0,3.0,
bf16,1,1024,8.0,1.0,28704.097100284038,114413.41884810901,244.08196020929918,5.8888397216796875,12.059303936,21.657288704,819.0044,33.4,12.0,3.0,
bf16,2,1024,8.0,1.0,44429.69877144434,177095.05779167233,377.8027899555677,5.7318572998046875,12.059303936,21.657288704,803.1859999999999,98.0,44.42857142857143,3.0,
bf16,4,1024,8.0,1.0,58729.92738143978,234095.21494216254,499.4031252099468,8.683670043945312,12.059303936,21.657288704,804.6947142857144,89.0,36.285714285714285,3.0,
bf16,8,1024,8.0,1.0,73820.62023885743,294246.13195487036,627.7250815037233,9.344829559326172,12.059303936,30.81764864,869.2024374999999,87.0,29.625,3.0,
bf16,1,2048,8.0,1.0,41835.35112322335,166754.0885886878,355.74205565586726,8.582412719726562,12.059303936,30.81764864,876.5678571428571,98.42857142857143,35.857142857142854,3.0,
bf16,2,2048,8.0,1.0,56010.020943909505,223253.77326999998,476.2747163093333,9.222328186035156,12.059303936,30.81764864,871.3907272727273,98.27272727272727,37.54545454545455,3.0,
bf16,4,2048,8.0,1.0,66323.691020289,264363.6625721212,563.9758134871919,9.769367218017578,12.059303936,30.81764864,921.8681764705883,89.11764705882354,28.764705882352942,3.0,
bf16,8,2048,8.0,1.0,75394.87325587696,300521.0434833494,641.1115594311452,10.270572662353516,12.059303936,52.275707904,934.9633666666666,96.03333333333333,29.633333333333333,3.0,
int8,1,128,8.0,1.0,4418.949997013714,17613.76346766111,18.78801436550518,3.166496753692627e-08,12.059304448,20.54160384,222.62750000000003,18.0,4.666666666666667,6.0,
int8,2,128,8.0,1.0,8650.568971022532,34480.83273611357,36.779554918521136,0.005524568725377321,12.059304448,20.54160384,331.21500000000003,68.2,37.4,6.0,
int8,4,128,8.0,1.0,16547.74312144608,65958.662909003,70.35590710293653,0.03870078921318054,12.059304448,20.54160384,428.706,96.5,53.0,6.0,
int8,8,128,8.0,1.0,29461.095930996504,117430.78685600142,125.25950597973484,1.1428885459899902,12.059304448,20.80374784,548.5516,95.0,49.6,6.0,
int8,1,512,8.0,1.0,16368.468350892541,65244.08061991097,69.59368599457171,0.19936563074588776,12.059304448,20.80374784,673.1456000000001,91.4,46.0,6.0,
int8,2,512,8.0,1.0,29366.475896969958,117053.6350666008,124.8572107377075,1.3832197189331055,12.059304448,20.80374784,708.2378,72.2,36.4,6.0,
int8,4,512,8.0,1.0,46162.10657930484,184000.368188442,196.26705940100481,5.145759582519531,12.059304448,20.80374784,761.035857142857,92.71428571428571,43.42857142857143,6.0,
int8,8,512,8.0,1.0,63521.70485253262,253195.05427560917,270.0747245606498,7.746147155761719,12.059304448,21.85232384,838.3696,82.2,36.4,6.0,
int8,1,1024,8.0,1.0,28775.47567794801,114697.93109298186,122.34445983251399,5.987518310546875,12.059304448,21.85232384,912.681,98.0,42.666666666666664,6.0,
