dtype,batch_size,input_len,output_len,model,num_gpus,total_time_s,total_output_tokens,throughput_tps,throughput_rps,ttft_s_est,tpot_ms,tbt_ms,ttl_s,mean_gpu_util,max_gpu_util,mean_power_W,peak_power_W,mean_mem_util,mean_sm_clock_MHz,mem_bw_util_pct,mem_used_GB,arith_intensity
int8,1,128,256,Qwen/Qwen2.5-7B-Instruct,1,1.6886817133054137,256,151.59754380173123,0.5921779054755126,0.5066045139916241,4.617489059819491,4.617489059819491,1.6886817133054137,100.0,100,542.534294117647,728.71,13.823529411764707,1965.0,13.823529411764707,0.0,2.0
int8,2,128,256,Qwen/Qwen2.5-7B-Instruct,1,2.7700757393613458,512,184.83249130149923,0.7220019191464814,0.8310227218084038,3.78721292490809,3.78721292490809,2.7700757393613458,98.5,100,659.9290000000001,714.723,34.857142857142854,1965.0,34.857142857142854,0.0,4.0
int8,4,128,256,Qwen/Qwen2.5-7B-Instruct,1,2.7891117138788104,1024,367.1419810488429,1.4341483634720427,0.836733514163643,1.9066193356593433,1.9066193356593433,2.7891117138788104,97.14285714285714,100,704.6673214285713,713.437,34.964285714285715,1965.0,34.964285714285715,0.0,8.0
int8,8,128,256,Qwen/Qwen2.5-7B-Instruct,1,2.7971644615754485,2048,732.1700343806398,2.860039196799374,0.8391493384726345,0.9560620718275459,0.9560620718275459,2.7971644615754485,98.0,100,707.0496428571429,712.449,35.5,1965.0,35.5,0.0,16.0
int8,16,128,256,Qwen/Qwen2.5-7B-Instruct,1,2.7666391022503376,4096,1480.4966779614958,5.783190148287093,0.8299917306751012,0.47281429970098543,0.47281429970098543,2.7666391022503376,99.07142857142857,100,716.7065,721.991,36.607142857142854,1965.0,36.607142857142854,0.0,32.0
int8,32,128,256,Qwen/Qwen2.5-7B-Instruct,1,2.7972220219671726,8192,2928.619872025353,11.439921375099035,0.8391666065901517,0.23902043644739024,0.23902043644739024,2.7972220219671726,96.78571428571429,100,722.4308571428571,730.649,35.785714285714285,1965.0,35.785714285714285,0.0,64.0
int8,1,512,256,Qwen/Qwen2.5-7B-Instruct,1,1.6929727336391807,256,151.21330362462925,0.590676967283708,0.5078918200917542,4.629222318544635,4.629222318544635,1.6929727336391807,98.23529411764706,100,561.8209411764707,730.079,15.0,1965.0,15.0,0.0,2.0
int8,2,512,256,Qwen/Qwen2.5-7B-Instruct,1,2.774546048603952,512,184.53469181296137,0.7208386398943804,0.8323638145811856,3.7933246758257155,3.7933246758257155,2.774546048603952,100.0,100,662.3720000000001,715.994,35.142857142857146,1965.0,35.142857142857146,0.0,4.0
int8,4,512,256,Qwen/Qwen2.5-7B-Instruct,1,2.793756133876741,1024,366.53163373248753,1.4317641942675294,0.8381268401630223,1.9097942321423034,1.9097942321423034,2.793756133876741,97.71428571428571,100,702.9314285714287,714.298,35.214285714285715,1965.0,35.214285714285715,0.0,8.0
int8,8,512,256,Qwen/Qwen2.5-7B-Instruct,1,2.814107285812497,2048,727.7618768570494,2.8428198314728492,0.8442321857437491,0.9618530762054434,0.9618530762054434,2.814107285812497,100.0,100,710.6837719298245,715.539,36.0,1965.0,36.0,0.0,16.0
int8,16,512,256,Qwen/Qwen2.5-7B-Instruct,1,2.7915983898565173,4096,1467.2597659044095,5.7314834605641,0.8374795169569552,0.47707980295399466,0.47707980295399466,2.7915983898565173,100.0,100,712.866107142857,723.751,36.875,1965.0,36.875,0.0,32.0
int8,32,512,256,Qwen/Qwen2.5-7B-Instruct,1,2.843446087092161,8192,2881.011191732324,11.25394996770439,0.8530338261276483,0.24297024669976963,0.24297024669976963,2.843446087092161,100.0,100,727.8960175438596,732.423,36.85964912280702,1965.0,36.85964912280702,0.0,64.0
int8,1,1024,256,Qwen/Qwen2.5-7B-Instruct,1,1.7186935609206557,256,148.9503456700379,0.5818372877735856,0.5156080682761967,4.699552705642419,4.699552705642419,1.7186935609206557,95.88571428571429,100,553.6145142857143,730.039,13.4,1965.0,13.4,0.0,2.0
int8,2,1024,256,Qwen/Qwen2.5-7B-Instruct,1,2.803401899524033,512,182.63524758506026,0.7134189358791416,0.8410205698572099,3.8327760345055144,3.8327760345055144,2.803401899524033,98.45614035087719,100,655.5847719298246,714.864,34.92982456140351,1965.0,34.92982456140351,0.0,4.0
int8,4,1024,256,Qwen/Qwen2.5-7B-Instruct,1,2.826582184061408,1024,362.2749785143885,1.4151366348218302,0.8479746552184224,1.9322339148857282,1.9322339148857282,2.826582184061408,94.73684210526316,100,701.3856842105264,714.721,34.05263157894737,1965.0,34.05263157894737,0.0,8.0
int8,8,1024,256,Qwen/Qwen2.5-7B-Instruct,1,2.839721410535276,2048,721.1975063476245,2.8171777591704084,0.8519164231605828,0.9706079039915494,0.9706079039915494,2.839721410535276,98.87719298245614,100,704.0040350877193,714.907,35.73684210526316,1965.0,35.73684210526316,0.0,16.0
int8,16,1024,256,Qwen/Qwen2.5-7B-Instruct,1,2.8203667532652617,4096,1452.2933924312795,5.673021064184685,0.8461100259795785,0.48199627130998124,0.48199627130998124,2.8203667532652617,98.87719298245614,100,714.5196315789474,724.736,36.36842105263158,1965.0,36.36842105263158,0.0,32.0
int8,32,1024,256,Qwen/Qwen2.5-7B-Instruct,1,2.88346656691283,8192,2841.0247907853245,11.097753089005174,0.8650399700738489,0.24638996543444588,0.24638996543444588,2.88346656691283,95.51724137931035,100,719.1704655172414,733.576,35.06896551724138,1965.0,35.06896551724138,0.0,64.0
int8,1,2048,256,Qwen/Qwen2.5-7B-Instruct,1,1.7334001418203115,256,147.6866153542392,0.5769008412274969,0.5200200425460935,4.739766012789914,4.739766012789914,1.7334001418203115,100.0,100,559.9738857142856,733.576,14.82857142857143,1965.0,14.82857142857143,0.0,2.0
int8,2,2048,256,Qwen/Qwen2.5-7B-Instruct,1,2.8131162310019135,512,182.0045664510802,0.710955337699532,0.843934869300574,3.8460573470729287,3.8460573470729287,2.8131162310019135,98.03508771929825,100,672.0691578947369,1006.598,34.05263157894737,1965.0,34.05263157894737,0.0,4.0
int8,4,2048,256,Qwen/Qwen2.5-7B-Instruct,1,2.8393579088151455,1024,360.6449179305161,1.4087692106660785,0.8518073726445436,1.9409673204791034,1.9409673204791034,2.8393579088151455,99.78947368421052,100,706.9763333333333,716.217,36.01754385964912,1965.0,36.01754385964912,0.0,8.0
int8,8,2048,256,Qwen/Qwen2.5-7B-Instruct,1,2.85398518294096,2048,717.593073797807,2.803097944522684,0.8561955548822879,0.9754832168255234,0.9754832168255234,2.85398518294096,97.86206896551724,100,713.3990862068965,716.741,35.03448275862069,1965.0,35.03448275862069,0.0,16.0
int8,16,2048,256,Qwen/Qwen2.5-7B-Instruct,1,2.855666236951947,4096,1434.3412920593787,5.602895672106948,0.8566998710855841,0.4880288979165926,0.4880288979165926,2.855666236951947,97.51724137931035,100,713.6496896551724,727.856,35.93103448275862,1965.0,35.93103448275862,0.0,32.0
int8,32,2048,256,Qwen/Qwen2.5-7B-Instruct,1,2.9801140604540706,8192,2748.8880740194927,10.737844039138643,0.8940342181362212,0.2546484182516906,0.2546484182516906,2.9801140604540706,96.8,100,724.9475,738.998,35.266666666666666,1965.0,35.266666666666666,0.0,64.0
int8,1,128,512,Qwen/Qwen2.5-7B-Instruct,1,3.366448862478137,512,152.0890472172812,0.29704892034625235,1.009934658743441,4.602566804169328,4.602566804169328,3.366448862478137,97.43283582089552,100,510.59802985074634,738.998,12.223880597014926,1965.0,12.223880597014926,0.0,2.0
int8,2,128,512,Qwen/Qwen2.5-7B-Instruct,1,5.530536334961653,1024,185.15383282570915,0.3616285797377132,1.6591609004884957,3.7806400727276923,3.7806400727276923,5.530536334961653,100.0,100,685.8353063063062,715.791,36.06306306306306,1965.0,36.06306306306306,0.0,4.0
int8,4,128,512,Qwen/Qwen2.5-7B-Instruct,1,5.562872224487364,2048,368.1551395311312,0.7190530068967407,1.6688616673462093,1.9013723423540796,1.9013723423540796,5.562872224487364,99.25,100,711.5070892857142,717.706,36.0,1965.0,36.0,0.0,8.0
int8,8,128,512,Qwen/Qwen2.5-7B-Instruct,1,5.578683387488127,4096,734.2234207423404,1.4340301186373836,1.673605016246438,0.9533882742289279,0.9533882742289279,5.578683387488127,99.21428571428571,100,710.1540892857143,717.956,36.357142857142854,1965.0,36.357142857142854,0.0,16.0
int8,16,128,512,Qwen/Qwen2.5-7B-Instruct,1,5.523542158305645,8192,1483.106268625441,2.8966919309090646,1.6570626474916934,0.4719823621599062,0.4719823621599062,5.523542158305645,100.0,100,718.1469459459458,725.309,37.0,1965.0,37.0,0.0,32.0
int8,32,128,512,Qwen/Qwen2.5-7B-Instruct,1,5.598947007209063,16384,2926.2645241872046,5.715360398803134,1.6796841021627187,0.2392128237943325,0.2392128237943325,5.598947007209063,98.78571428571429,100,731.074125,738.789,37.017857142857146,1965.0,37.017857142857146,0.0,64.0
int8,1,512,512,Qwen/Qwen2.5-7B-Instruct,1,3.3724013213068247,512,151.820602359863,0.2965246139841074,1.0117203963920474,4.610704931474174,4.610704931474174,3.3724013213068247,98.88235294117646,100,510.45867647058816,735.613,11.852941176470589,1965.0,11.852941176470589,0.0,2.0
int8,2,512,512,Qwen/Qwen2.5-7B-Instruct,1,5.533667216077447,1024,185.0490750554864,0.3614239747177469,1.660100164823234,3.7827803234904422,3.7827803234904422,5.533667216077447,98.95495495495496,100,687.8210720720723,716.394,36.0990990990991,1965.0,36.0990990990991,0.0,4.0
int8,4,512,512,Qwen/Qwen2.5-7B-Instruct,1,5.568779556080699,2048,367.76460252655073,0.7182902393096694,1.6706338668242096,1.9033914498322704,1.9033914498322704,5.568779556080699,100.0,100,711.4465,718.5,36.455357142857146,1965.0,36.455357142857146,0.0,8.0
int8,8,512,512,Qwen/Qwen2.5-7B-Instruct,1,5.592378666624427,4096,732.4253674818403,1.4305182958629694,1.677713599987328,0.955728776034448,0.955728776034448,5.592378666624427,99.92857142857143,100,712.3334642857143,719.828,36.544642857142854,1965.0,36.544642857142854,0.0,16.0
int8,16,512,512,Qwen/Qwen2.5-7B-Instruct,1,5.552614566870034,8192,1475.3410130207844,2.8815254160562196,1.66578437006101,0.47446657675891407,0.47446657675891407,5.552614566870034,99.6036036036036,100,721.8251441441442,725.353,36.81981981981982,1965.0,36.81981981981982,0.0,32.0
int8,32,512,512,Qwen/Qwen2.5-7B-Instruct,1,5.648653615266085,16384,2900.514196112239,5.665066789281717,1.6945960845798254,0.241336519206925,0.241336519206925,5.648653615266085,100.0,100,734.0016902654867,737.781,37.2212389380531,1965.0,37.2212389380531,0.0,64.0
int8,1,1024,512,Qwen/Qwen2.5-7B-Instruct,1,3.406177149154246,512,150.31514145620102,0.2935842606566426,1.0218531447462738,4.6568828211093205,4.6568828211093205,3.406177149154246,97.5072463768116,100,513.5848260869564,735.533,12.347826086956522,1965.0,12.347826086956522,0.0,2.0
int8,2,1024,512,Qwen/Qwen2.5-7B-Instruct,1,5.568883566185832,1024,183.87886689133006,0.35913841189712903,1.6706650698557495,3.8068540003223466,3.8068540003223466,5.568883566185832,97.71428571428571,100,684.4001607142857,716.266,35.392857142857146,1965.0,35.392857142857146,0.0,4.0
int8,4,1024,512,Qwen/Qwen2.5-7B-Instruct,1,5.607266558334231,2048,365.2403499448412,0.713360058486018,1.6821799675002693,1.9165461869306455,1.9165461869306455,5.607266558334231,98.32142857142857,100,709.3774464285715,718.986,35.67857142857143,1965.0,35.67857142857143,0.0,8.0
int8,8,1024,512,Qwen/Qwen2.5-7B-Instruct,1,5.630280047655106,4096,727.4948964050019,1.4208884695410193,1.6890840142965315,0.9622060628316832,0.9622060628316832,5.630280047655106,100.0,100,711.6871946902654,717.152,36.610619469026545,1965.0,36.610619469026545,0.0,16.0
int8,16,1024,512,Qwen/Qwen2.5-7B-Instruct,1,5.588958753272891,8192,1465.7470848577598,2.862787275112812,1.6766876259818673,0.47757215909314255,0.47757215909314255,5.588958753272891,97.71428571428571,100,718.2611607142857,729.043,36.07142857142857,1965.0,36.07142857142857,0.0,32.0
int8,32,1024,512,Qwen/Qwen2.5-7B-Instruct,1,5.694830195978284,16384,2876.995351252169,5.619131545414392,1.708449058793485,0.24330939558012687,0.24330939558012687,5.694830195978284,98.98245614035088,100,728.5645263157895,737.19,36.69298245614035,1965.0,36.69298245614035,0.0,64.0
int8,1,2048,512,Qwen/Qwen2.5-7B-Instruct,1,3.4192552538588643,512,149.7402100712349,0.2924613477953807,1.0257765761576592,4.674763042385167,4.674763042385167,3.4192552538588643,99.18840579710145,100,515.0475362318841,733.295,12.46376811594203,1965.0,12.46376811594203,0.0,2.0
int8,2,2048,512,Qwen/Qwen2.5-7B-Instruct,1,5.584853747859597,1024,183.3530556449127,0.3581114368064701,1.6754561243578792,3.8177711167008965,3.8177711167008965,5.584853747859597,98.14285714285714,100,687.4318392857143,716.255,35.57142857142857,1965.0,35.57142857142857,0.0,4.0
int8,4,2048,512,Qwen/Qwen2.5-7B-Instruct,1,5.632947859354317,2048,363.5751743377142,0.710107762378348,1.6898843578062952,1.9253239753652451,1.9253239753652451,5.632947859354317,98.33628318584071,100,712.994,722.712,35.65486725663717,1965.0,35.65486725663717,0.0,8.0
int8,8,2048,512,Qwen/Qwen2.5-7B-Instruct,1,5.651507871225476,4096,724.7623277417149,1.415551421370537,1.6954523613676429,0.9658338647113851,0.9658338647113851,5.651507871225476,100.0,100,712.7086283185841,717.651,36.50442477876106,1965.0,36.50442477876106,0.0,16.0
int8,16,2048,512,Qwen/Qwen2.5-7B-Instruct,1,5.640490820631385,8192,1452.3558783281567,2.836632574859681,1.6921472461894154,0.4819755339894982,0.4819755339894982,5.640490820631385,98.30088495575221,100,722.8073185840709,728.983,36.2212389380531,1965.0,36.2212389380531,0.0,32.0
int8,32,2048,512,Qwen/Qwen2.5-7B-Instruct,1,5.821072474122047,16384,2814.601617285496,5.497268783760735,1.7463217422366142,0.24870304760042927,0.24870304760042927,5.821072474122047,98.87179487179488,100,737.785735042735,756.448,36.38461538461539,1965.0,36.38461538461539,0.0,64.0
int12,1,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.47911547869443893,128,267.15897459375003,2.087179489013672,0.14373464360833169,2.620162774110213,2.620162774110213,0.47911547869443893,59.4,99,265.6078,353.795,38.4,1965.0,38.4,0.0,1.3333333333333333
int12,2,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.4828281542286277,256,530.2093462403592,4.142260517502806,0.1448484462685883,1.3202332342189038,1.3202332342189038,0.4828281542286277,82.6,99,492.3526,589.344,53.6,1965.0,53.6,0.0,2.6666666666666665
int12,4,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.47602477204054594,512,1075.574276954624,8.402924038708,0.14280743161216378,0.6508151180241839,0.6508151180241839,0.47602477204054594,99.0,99,659.0692000000001,663.823,64.4,1965.0,64.4,0.0,5.333333333333333
int12,8,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.4760966394096613,1024,2150.823835408111,16.803311214125866,0.14282899182289838,0.32545668709644815,0.32545668709644815,0.4760966394096613,83.8,99,665.1646,666.013,54.0,1965.0,54.0,0.0,10.666666666666666
int12,16,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.48470005486160517,2048,4225.2935180392315,33.010105609681496,0.14541001645848153,0.16566896406402523,0.16566896406402523,0.48470005486160517,99.0,99,662.1890000000001,664.051,64.6,1965.0,64.6,0.0,21.333333333333332
int12,32,128,128,Qwen/Qwen2.5-7B-Instruct,1,0.4899355983361602,4096,8360.282481840819,65.3147068893814,0.14698067950084806,0.08372922823127738,0.08372922823127738,0.4899355983361602,81.0,99,667.8348,674.297,53.0,1965.0,53.0,0.0,42.666666666666664
int12,1,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.47026254050433636,128,272.1883819679226,2.1264717341243955,0.1410787621513009,2.5717482683830895,2.5717482683830895,0.47026254050433636,99.0,99,690.1046,695.913,64.4,1965.0,64.4,0.0,1.3333333333333333
int12,2,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.4678433444350958,256,547.1917107405063,4.274935240160206,0.14035300333052872,1.2792591449397153,1.2792591449397153,0.4678433444350958,82.2,99,681.6522,687.997,53.6,1965.0,53.6,0.0,2.6666666666666665
int12,4,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.47620618902146816,512,1075.164522855284,8.399722834806907,0.14286185670644044,0.6510631490527885,0.6510631490527885,0.47620618902146816,93.4,99,662.1263999999999,672.046,60.0,1965.0,60.0,0.0,5.333333333333333
int12,8,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.48311068024486303,1024,2119.5971065698423,16.559352395076893,0.14493320407345892,0.33025144157363684,0.33025144157363684,0.48311068024486303,93.0,99,669.0390000000001,671.814,60.0,1965.0,60.0,0.0,10.666666666666666
int12,16,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.49437526147812605,2048,4142.602107307538,32.36407896334014,0.14831257844343781,0.16897591945053136,0.16897591945053136,0.49437526147812605,84.2,99,674.6946,678.756,53.6,1965.0,53.6,0.0,21.333333333333332
int12,32,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.5243908856064081,4096,7810.967185791885,61.0231811389991,0.15731726568192242,0.0896175829893764,0.0896175829893764,0.5243908856064081,99.0,99,686.1176363636364,695.032,64.0,1965.0,64.0,0.0,42.666666666666664
int12,1,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.47725902311503887,128,268.19817709166034,2.0952982585285964,0.14317770693451165,2.610010282660369,2.610010282660369,0.47725902311503887,82.6,99,699.4782000000001,702.278,52.0,1965.0,52.0,0.0,1.3333333333333333
int12,2,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.4767382023856044,256,536.9823494718329,4.1951746052486945,0.1430214607156813,1.303581022148137,1.303581022148137,0.4767382023856044,98.2,99,691.8266000000001,698.967,63.7,1965.0,63.7,0.0,2.6666666666666665
int12,4,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.4878998175263405,512,1049.3957603752503,8.198404377931643,0.14636994525790215,0.6670505317742936,0.6670505317742936,0.4878998175263405,85.8,99,679.7711999999999,681.826,54.7,1965.0,54.7,0.0,5.333333333333333
int12,8,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.4972313102334738,1024,2059.4036998981082,16.08909140545397,0.14916939307004212,0.3399042159799137,0.3399042159799137,0.4972313102334738,95.4,99,683.5638000000001,684.859,59.9,1965.0,59.9,0.0,10.666666666666666
int12,16,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.5107057886198163,2048,4010.1366493901023,31.329192573360174,0.1532117365859449,0.17455764259466378,0.17455764259466378,0.5107057886198163,94.27272727272727,99,691.121,696.977,60.09090909090909,1965.0,60.09090909090909,0.0,21.333333333333332
int12,32,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.5605193208903074,4096,7307.5090319706915,57.08991431227103,0.16815579626709223,0.09579187612871465,0.09579187612871465,0.5605193208903074,76.0,99,684.9515833333334,699.204,46.916666666666664,1965.0,46.916666666666664,0.0,42.666666666666664
